lat,lng,q
1.8333,144.8833,10
24.83,122.7,10
-36.8333,55.2833,10
41.4,40.6667,10
35.2167,32.9333,10
-16.26667,-22.25,10
19.648,-97.44,10
47.0333,-131.1667,10
47.0333,-131.1667,10
34.1833,33.6167,10
34.1833,33.6167,10
34.3167,27.1833,10
45.385,-27.225,10
45.385,-27.225,10
6.1667,173,10
-22.63,170.013,10
-7.65,157.24,10
20.065,143.528,10
20.065,143.528,10
20.9033,143.207,10
21.4517,143.05,10
21.4517,143.038,10
28.433,139.967,10
30.9133,139.897,10
30.9133,139.89,10
30.835,139.885,10
4.65,132.782,10
24.6067,130.0567,10
28.2717,127.74,10
28.2717,127.74,10
-2.8333,119.8667,10
-17.1667,67.2333,10
9.56667,63.1,10
-31.2333,62.95,10
39.2,50.6167,10
44.0667,35,10
36.3017,29.8817,10
43.2667,29.1167,10
22.16,28.21,10
9.65,-37.6667,10
26.159,-44.8148,10
28.1364,-44.8307,10
22.0093,-46.5528,10
38.6317,-54.1,10
-26.5333,-70.3,10
-23.3667,-71.35,10
33.9333,-85.8333,10
0.8383,-86.1483,10
0.8383,-86.1483,10
9.617,-86.194,10
9.64,-86.2,10
9.084,-86.954,10
9.09,-86.954,10
9.093,-86.954,10
9.095,-87.053,10
9.087,-87.071,10
9.9417,-90.5367,10
9.9417,-90.538,10
9.8167,-93.0333,10
-28,-96.3333,10
44.13,-111.775,10
44.14,-111.86,10
43.4233,-112.098,10
43.8283,-112.19,10
43.6833,-112.301,10
43.6833,-112.3017,10
43.49,-112.683,10
44.3017,-114.823,10
-13.55,-121.8333,10
41.8917,-122.396,10
41.8917,-122.3967,10
41.8983,-122.525,10
-1.35,-131.5167,10
39.73,30.95,10.08
-73.297,-112.33,10.1
9.633,-86.2063,10.22
28.4317,139.967,10.4
10.1217,-90.695,10.4
13.65055556,145.5519444,10.5
-32.1083,44.9083,10.5
35.19,-37.695,10.53
47.9496,-129.095,10.6
12.35,136.117,10.6
39.5567,-118.85,10.6
-36.8333,55.2833,10.8
34.645,-34.819,10.85
10.4,92.95,10.9
10.475,92.8,10.9
63.2967,36.1983,10.9
39.8117,-119.65,10.9
-29.99,-177.445,10.9
35.3167,33.5833,11
34.9,32.35,11
36.9483,-33.1967,11
4.9833,-94.4667,11
47.9553,-129.097,11
47.9554,-129.09,11
16.75,-57.6333,11
16.75,-57.6333,11
42.85,-19.9667,11
42.85,-19.9667,11
47.9528,-129.092,11
16.4933,-61.9617,11
-22.8667,174.35,11
-12.983,174.017,11
-7.925,158.66,11
1.5667,148.15,11
1.483,147.967,11
18.07,145,11
54.4467,144.08,11
18.0467,143.88,11
38.15,142.9667,11
38.15,142.9667,11
2.8717,140.41,11
1.5833,125,11
25.26,124.348,11
-3.5333,119.9,11
10.45,92.925,11
-5.0333,67.45,11
-9.81667,56.4667,11
-36.8333,55.2833,11
39.0833,51.1833,11
39.1833,50.1833,11
-1.3167,37.2167,11
34.1833,33.6167,11
33.84,24.885,11
57.6833,11.985,11
69.283,8.983,11
-52.285,6.5633,11
37.18861,-3.60944,11
